,num,name,sr,hr,lr,bic
38,38,682789_1269014_2017-08-10_1018_BGRN_Analytic_s0166,59454,61699,3683,57598
39,39,635218_1368610_2017-07-20_1011_BGRN_Analytic_s0201,106810,107687,6794,108836
40,40,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0589,52701,54212,3359,53594
41,41,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0489,168440,168635,10537,168801
42,42,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0228,185196,185371,11631,186598
43,43,585620_1166117_2017-06-28_0f22_BGRN_Analytic_s0101,249,232,15,211
44,44,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0728,37217,37552,2277,35681
45,45,635218_1368610_2017-07-20_1011_BGRN_Analytic_s0038,23782,23817,1502,24047
46,46,715013_1166017_2017-08-27_1032_BGRN_Analytic_s0015,138605,138721,8704,139441
47,47,585726_1269313_2017-06-28_1010_BGRN_Analytic_s1004,75421,75447,4705,75408
48,48,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0202,203429,204013,12798,205148
49,49,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0222,20056,20477,1253,19906
50,50,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0452,128016,128800,8102,129513
51,51,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0957,0,0,0,0
52,52,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0213,35746,35374,2096,32612
53,53,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0175,180397,180774,11323,181092
